adsh	tag	version	coreg	ddate	qtrs	uom	value	footnote
0000950134-09-009913	TotalStockholdersEquity	0000950134-09-009913		20090331	0	USD	-114285000.0000	
0001193125-09-088631	AdditionalPaidInCapital	us-gaap/2008		20081231	0	USD	789625000.0000	
0000038074-09-000029	Assets	us-gaap/2008		20090331	0	USD	5196808000.0000	
0001193125-09-088631	OtherComprehensiveIncomeFinalizationOfPensionAndNonPensionPostretirementPlanValuationNetOfTax	us-gaap/2008		20090331	1	USD	23000.0000	
0001193125-09-100014	IncomeTaxExpenseBenefit	us-gaap/2008		20090331	1	USD	121500000.0000	
0001104659-09-025790	AvailableForSaleSecuritiesNoncurrent	us-gaap/2008		20081231	0	USD	11350000.0000	
0001193125-09-101273	OtherNonoperatingIncomeExpense	us-gaap/2008		20090331	1	USD	1200000.0000	
0001104659-09-031513	IncomeTaxExpenseBenefit	us-gaap/2008		20080331	1	USD	83437000.0000	
0001193125-09-088639	IncreaseDecreaseInInventories	us-gaap/2008		20080331	1	USD	21167000.0000	
0001193125-09-124260	WeightedAverageNumberOfDilutedSharesOutstanding	us-gaap/2008		20090430	1	shares	227100000.0000	
0000950134-09-009913	LongTermDebtNoncurrent	us-gaap/2008		20090331	0	USD	2392289000.0000	
0001193125-09-101273	TreasuryStockShares	us-gaap/2008		20090331	0	shares	165300000.0000	
0001193125-09-100014	ClassCCommonStockSharesIssued	0001193125-09-100014		20090331	0	shares	130237469.0000	
0001193125-09-088639	IncreaseDecreaseInOtherOperatingLiabilities	us-gaap/2008		20080331	1	USD	38837000.0000	
0000891618-09-000166	MinorityInterestInNetIncomeLossOfConsolidatedEntities	us-gaap/2008		20090331	1	USD	17000000.0000	
0000092380-09-000018	DepositsOnFlightEquipmentPurchaseContracts	0000092380-09-000018		20081231	0	USD	380000000.0000	
0001104659-09-029605	LoansPayableCurrent	us-gaap/2008		20081231	0	USD	7075000.0000	
0000277948-09-000066	RetainedEarningsAccumulatedDeficit	us-gaap/2008		20081231	0	USD	8398000000.0000	
0001193125-09-100014	InterestExpense	us-gaap/2008		20080331	1	USD	279600000.0000	
0000038074-09-000029	LiabilitiesAndStockholdersEquity	us-gaap/2008		20080331	0	USD	4525367000.0000	
0001002638-09-000023	IncomeTaxExpenseBenefit	us-gaap/2008		20080331	1	USD	2594000.0000	
0001193125-09-102866	Goodwill	us-gaap/2008		20081231	0	USD	12297000000.0000	
0001193125-09-101273	IncreaseDecreaseInAccruedIncomeTaxesPayable	us-gaap/2008		20090331	1	USD	30600000.0000	
0001193125-09-096522	PaymentsToAcquireSoftware	us-gaap/2008		20080331	1	USD	5600000.0000	
0001193125-09-109617	EarningsPerShareDiluted	us-gaap/2008		20090331	1	USD	0.4000	
0000891618-09-000166	ForeignCurrencyTransactionGainLossUnrealized	us-gaap/2008		20080331	1	USD	188000000.0000	
0000891618-09-000166	EarningsPerShareDiluted	us-gaap/2008		20090331	1	USD	0.9200	
0000038074-09-000029	RetainedEarningsAccumulatedDeficit	us-gaap/2008		20090331	0	USD	6379236000.0000	
0001193125-09-124260	PrepaidExpenseCurrent	us-gaap/2008		20090131	0	USD	59300000.0000	
0001104659-09-025790	AssetsHeldForSalePropertyPlantAndEquipment	us-gaap/2008		20081231	0	USD	940000.0000	
0001193125-09-109617	IncreaseDecreaseInDueToRelatedParties	us-gaap/2008		20090331	1	USD	-151000000.0000	
0001031296-09-000011	PaymentsToAcquireProductiveAssets	us-gaap/2008		20090331	1	USD	-654000000.0000	
0001193125-09-088639	LiabilitiesCurrent	us-gaap/2008		20090331	0	USD	1357900000.0000	
0000891618-09-000150	CommitmentsAndContingencies	us-gaap/2008		20081231	0	USD		
0000950123-09-008550	StockholdersEquity	us-gaap/2008		20090331	0	USD	184502000.0000	
0001193125-09-102866	IncomeBeforeMinorityInterestEarningsLossEquityInvestments	0001193125-09-102866		20090331	1	USD	450000000.0000	
0001193125-09-101273	CommonStockParOrStatedValuePerShare	us-gaap/2008		20081231	0	USD	0.0100	
0000891618-09-000166	EntityCommonStockSharesOutstanding	dei/2008		20090331	0	shares	2004559279.0000	
0000277948-09-000066	AccountsPayable	us-gaap/2008		20090331	0	USD	934000000.0000	
0000092380-09-000018	PropertyPlantAndEquipmentGross	us-gaap/2008		20081231	0	USD	15871000000.0000	
0001193125-09-124260	AccruedSalaries	us-gaap/2008		20090131	0	USD	124300000.0000	
0001031296-09-000011	AmortizationOfRegulatoryAsset	us-gaap/2008		20080331	1	USD	258000000.0000	
0001104659-09-029605	ExcessTaxBenefitFromShareBasedCompensationFinancingActivities	us-gaap/2008		20080331	1	USD	55000.0000	
0001193125-09-101273	GainLossOnSaleOfPropertyPlantEquipment	us-gaap/2008		20090331	1	USD	-6300000.0000	
0001104659-09-029605	EntityPublicFloat	dei/2008		20080630	0	USD	574220073.0000	
0001193125-09-109617	DeferredRevenueNoncurrent	us-gaap/2008		20090331	0	USD	343000000.0000	
0000891618-09-000150	GeneralAndAdministrativeExpense	us-gaap/2008		20090331	1	USD	39000000.0000	
0000831259-09-000047	RepaymentsOfOtherDebt	us-gaap/2008		20080331	1	USD	-118000000.0000	
0001031296-09-000011	OperatingIncomeLoss	us-gaap/2008		20090331	1	USD	346000000.0000	
0000891618-09-000166	Assets	us-gaap/2008		20081231	0	USD	161165000000.0000	
0001002638-09-000023	ProceedsFromIssuanceOfCommonStock	us-gaap/2008		20090331	3	USD	17674000.0000	
0000950134-09-009913	AssetRetirementObligationCurrent	us-gaap/2008		20090331	0	USD	126000.0000	
0000891618-09-000150	CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations	us-gaap/2008		20080331	1	USD	-100000000.0000	
0001193125-09-109617	AccumulatedOtherComprehensiveIncomeLossNetOfTax	us-gaap/2008		20081231	0	USD	-1222000000.0000	
0001104659-09-031513	CommonStockSharesAuthorized	us-gaap/2008		20090331	0	shares	375000000.0000	
0001002638-09-000023	GrossProfit	us-gaap/2008		20090331	3	USD	395343000.0000	
0001104659-09-029605	Goodwill	us-gaap/2008		20090331	0	USD	73282000.0000	
0001193125-09-111401	TreasuryStockShares	us-gaap/2008		20081231	0	shares	1048895.0000	
0000796343-09-000026	AccruedLiabilities	us-gaap/2008		20090531	0	USD	363431000.0000	
0001031296-09-000011	GainLossOnSaleOfOtherAssets	us-gaap/2008		20090331	1	USD	-5000000.0000	
0000831259-09-000047	DeferredTaxLiabilitiesNoncurrent	us-gaap/2008		20081231	0	USD	2339000000.0000	
0001193125-09-096522	SellingGeneralAndAdministrativeExpense	us-gaap/2008		20080331	1	USD	198000000.0000	
0001193125-09-101639	IncreaseDecreaseInIncomeTaxesNet	0001193125-09-101639		20080331	1	USD	21100000.0000	
0000092380-09-000018	OperatingExpenses	us-gaap/2008		20090331	1	USD	2407000000.0000	
0000038074-09-000029	DeferredTaxAssetsNetCurrent	us-gaap/2008		20090331	0	USD	217811000.0000	
0000891618-09-000150	MineReclamationAndClosingLiabilityNoncurrent	us-gaap/2008		20081231	0	USD	716000000.0000	
0001193125-09-101639	NetCashProvidedByUsedInOperatingActivities	us-gaap/2008		20080331	1	USD	125700000.0000	
0000891618-09-000166	ExciseAndSalesTaxes	us-gaap/2008		20090331	1	USD	1910000000.0000	
0001104659-09-029605	StockholdersEquity	us-gaap/2008		20081231	0	USD	129986000.0000	
0001193125-09-101639	ProceedsFromIssuanceOfCommonStock	us-gaap/2008		20080331	1	USD	1100000.0000	
0001193125-09-101273	IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments	us-gaap/2008		20090331	1	USD	204500000.0000	
0001193125-09-088639	LiabilitiesAndStockholdersEquity	us-gaap/2008		20090331	0	USD	7407287000.0000	
0001193125-09-088631	RevenueFromRelatedParties	us-gaap/2008		20090331	1	USD	1000000.0000	
